question,ground_truth,book_name,page_number
หลังผ่าตัดหัวแม่มือ ผู้ป่วยควรทำกิจกรรมอะไรเพื่อป้องกันกล้ามเนื้อหลุดลีบและข้อติด?,เคลื่อนไหวข้อนิ้วมือเบาๆ ในระหว่างตามข้อมือไว้ประมาณ 14 ถึง 21 วันหลังผ่าตัด และออกกำลังกล้ามเนื้อที่งอข้อมือเมื่อถอดเครื่องตามที่ข้อมือออกแล้ว โดยเหยียดแขนตึง คว่ำมือลง งอมือ ใช้มืออีกข้างหนึ่งค่อยๆ กดมือข้างที่เป็นให้งอมากขึ้นเท่าที่จะทนได้ ทำค้านิ้วบ 1-5 ในใจแล้วคลายออก ทำการยืด วันละ 2-3 ครั้งๆ ละ 5-6 รอบ,คู่มือโรค,88
ผู้ป่วยที่มีภาวะคลอไรด์ในเลือดสูงกว่า 108 mEq/L และระดับโซเดียมในเลือดมากกว่า 145 mEq/L มีอาการอย่างไรบ้าง?,มีความรู้สึกตัวลดลง ต่อมาอาจไม่รู้สึกตัว หายใจเร็ว แรงและลึก ความดันเลือดสูง หัวใจเต้นเร็ว,คู่มือโรค,450
อาการสำคัญของผู้ป่วยที่มีภาวะน้ำคร่ำอุดตันหลอดเลือดในปอด รวมถึงอาการอื่นๆ ที่เกี่ยวข้องคืออะไร?,มีอาการสั่น เหงื่อออกมาก กระสับกระส่าย มีความวิตกกังวลสูง เจ็บหน้าอก ไอมีเสมหะเป็นฟองสีชมพู อาเจียน ชัก หายใจลำบาก หายใจเร็ว ปลายมือปลายเท้าเขียว มีเลือดออก มีภาวะช็อก หมดสติ และอาจเสียชีวิต,คู่มือโรค,473
อาการของผู้ป่วยที่มีภาวะเลือดเป็นด่างจากการหายใจ ซึ่งแสดงโดย Trouseau's sign และ Chvostek's sign ได้ผลบวก มีลักษณะอย่างไร?,มีอาการใจสั่น เหงื่อออก กระสับ กระส่าย มีอาการกระตุก ชัก หัวใจเต้นผิดจังหวะ เหงื่อออกมาก หายใจเร็วตื้น มีอาการชาตามปลายนิ้ว และอาจแผ่ขึ้นไปที่แขนและขา รู้สึกวิงเวียนศีรษะ และหมดสติ,คู่มือโรค,460
กิจกรรมการพยาบาลตามเป้าหมายทางการพยาบาลมีเป้าหมายหลักอะไร?,เพื่อส่งเสริมสุขภาพ ป้องกันโรคและรักษาผู้ป่วยให้ดีขึ้นอย่างมีประสิทธิภาพ,คู่มือโรค,543
ปัจจัยใดที่กระตุ้นให้เกิดอาการปวดข้อในโรคเกาต์ได้บ้าง?,ได้รับการกระทบกระแทกบริเวณข้อ ดื่มสารที่มีแอลกอฮอล์ มีการติดเชื้อในร่างกาย มีการรับประทานอาหารที่มีพิวรินสูง อุณหภูมิเปลี่ยนแปลง และรับประทานยาขับปัสสาวะ,คู่มือโรค,95
การตรวจวินิจฉัยโรคกล้ามเนื้อและกระดูกที่น่าสงสัยว่าเป็นวัณโรค ควรใช้วิธีการใดเพื่อตรวจหาความผิดปกติในเนื้อเยื่อได้อย่างละเอียด?,การถ่ายภาพด้วยคลื่นแม่เหล็ก (Magnetic resonance imaging; MRI),คู่มือโรค,113
การดูแลผู้ป่วยที่ได้รับการรักษาด้วยวิธีดูดเอาหนองออก ต้องประเมินอะไรบ้าง?,การระบายหนองออก ดูแลผิวหนัง และป้องกันการติดเชื้อ,คู่มือโรค,308
ภาวะโซเดียมในเลือดสูงเกิดจากปัจจัยใดบ้าง?,เกิดจากการสูญเสียน้ำ เช่น ภาวะไข้สูง หายใจหอบ ปัสสาวะมากผิดปกติจากโรคเบาจืด เป็นโรคเบาหวาน ได้รับอาหารโปรตีนสูง เป็นโรคไต เป็นต้น และได้รับโซเดียมมากเกิน เช่น รับประทานเกลือจำนวนมาก ได้รับสารน้ำทางหลอดเลือดดำที่มีความเข้มข้นของเกลือสูง จมน้ำทะเล มีการคั่งของเกลือเนื่องจากโรคไตวายหรือไตเสียหน้าที่ การได้รับคอร์ติซอลจำนวนมาก มีภาวะต่อมอะดรีนอลทำงานมากผิดิปกติทำให้หลั่งคอร์ติซอลมาก ได้รับบาดเจ็บที่ศีรษะ ภาวะอัลโตสเตอโรนในเลือดสูง มีความผิดปกติของต่อมหมวกไตส่วนของเปลือกสมอง ภาวะหัวใจล้มเหลว เป็นต้น,คู่มือโรค,434
เชื้อโรคที่ทำให้เกิดโรคฉี่หนูมีชื่อว่าอะไร?,Leptospira interogans,คู่มือโรค,529
เชื้อโรคที่ก่อให้เกิดโรคหนองในแท้คืออะไร?,Neisseria gonorrhoeae,คู่มือโรค,489
อาการของผู้ป่วยที่มีลำไส้เล็กอุดกั้นบริเวณลำไส้ส่วนต้นมักจะมีลักษณะอย่างไร?,อาเจียนมีน้ำดีปนออกมา ท้องอืด ลำไส้เคลื่อนไหวถี่ ปวดท้อง หน้าท้องเกร็ง กดเจ็บ,คู่มือโรค,293
การรักษาโรคตับและระบบทางเดินน้ำดี โดยใช้การผ่าตัดเอาถุงน้ำดีออกมีชื่อว่าอะไร?,Cholecystectomy,คู่มือโรค,315
อาการปวดหรือชาของผู้ป่วยโรคภาวะกดรัดเส้นประสาทมีเดียนส่วนที่อยู่ใต้เส้นเอ็นที่กระดูกข้อมือมักเกิดบริเวณใด?,ฝ่ามือบริเวณหัวแม่มือ นิ้วชี้ นิ้วกลาง และนิ้วนางทางด้านนอกซึ่งเลี้ยงด้วยเส้นประสาิทมีเดียน,คู่มือโรค,85
อาการปวดศีรษะในผู้ป่วยที่มีเลือดออกใต้ชั้นอะแรชนอยด์มักเป็นอย่างไร?,ปวดศีรษะอย่างรุนแรงที่สุดที่เคยเป็นมา มักร่วมกับอาการอาเจียน หมดสติหรือสับสน คอแข็ง กลัวแสง และปวดหลัง,คู่มือโรค,75
อาการของภาวะนิ้วล็อก (Trigger finger) ที่พบบ่อยคืออะไร?,นิ้วนางและนิ้วกลางมักพบนิ้วล็อกมากกว่านิ้วชี้และนิ้วก้อย มีอาการเจ็บปวดเวลาเหยียดนิ้วมือ เกิดการติดขัดในการเคลื่อนไหวของนิ้ว โดยเฉพาะเมื่อเหยียดออกแล้วนิ้วเด้งออกมาเหมือนสปริง และบางรายมีอาการนิ้วเคลื่อนไหวผิดปกติ บวม เอียง เยกกัน หรือแข็งที่องอหรือเหยียดไม่ได้,คู่มือโรค,117
อาการของภาวะสมองขาดเลือดชั่วคราว (Transient ischemic attacks; TIAs) ที่พบบ่อยมีอะไรบ้าง?,มีอาการแขนขาอ่อนแรง หรือแขนขาชา พูดลำบาก มีอาการบ้านหมุน มองเห็นภาพซ้อน กลืนลำบาก และเดินเซ,คู่มือโรค,79
ผู้ป่วยที่ได้รับการผ่าตัดต่อมไทรอยด์ออกหมดแล้วต้องได้รับการดูแลอย่างไร?,ต้องรับประทานฮอร์โมนไทรอยด์อย่างต่อเนื่องตลอดไปและต้องอยู่ในการดูแลของแพทย์โดยตลอด,คู่มือโรค,401
การพยาบาลผู้ป่วยโรคติดเชื้อทางเพศสัมพันธ์ควรเน้นเรื่องใดเป็นหลัก?,การทำความสะอาดบริเวณอวัยวะสืบพันธุ์ การรับประทานยาให้ครบถ้วนและถูกต้องตามที่แพทย์สั่ง การมาตรวจตามนัด,คู่มือโรค,495
ความดันเลือดสูงปฐมภูมิ (Primary hypertension) เกิดจากปัจจัยใดบ้าง?,เกิดจากพฤติกรรมสุขภาพไม่เหมาะสม เช่น ไขมันสูง อ้วน เบาหวาน และอยู่ในท่านั่งนานๆ,คู่มือโรค,149
ในการดูแลผู้ป่วยที่มีอาการเจ็บหน้าอก ควรให้ยาไนโตรกลีเซอรีนใต้ลิ้นเมื่อใด?,เมื่อจำเป็นต้องเผชิญภาวะกล่าวให้อมยาไนโตรกลีเซอรีนใต้ลิ้น 1 เม็ดก่อน ควรออกกำลังกายด้วยการว่ายน้ำ ในระดับที่ไม่เกิดอาการเจ็บหน้าอก โดยเริ่มทำน้อยๆ และซ้ำๆ ก่อน,คู่มือโรค,158
ภาวะเยื่อบุช่องท้องอักเสบ (Peritonitis) เกิดจากปัจจัยใดบ้างตามคู่มือหมอหน้า 298?,เกิดจากการติดเชื้อแบคทีเรีย ไวรัส ปรสิต หรือสารเคมี สิ่งแปลกปลอม เข้าทางแผลหรือมีการทะลุของทางเดินอาหาร เช่น การแตกของไส้ติ่ง อักเสบ มีแผลทะลุ หรือลำไส้ทะลุ,คู่มือโรค,298
ภาวะโปแตสเซียมในเลือดต่ำ (Hypokalemia) เกิดจากปัจจัยใดบ้าง?,การรับประทานยาระบายเป็นประจำ การได้รับยาขับปัสสาวะเป็นเวลานาน การได้รับโซเดียมมาก การเครียด การออกกำลังกายในที่ที่อากาศร้อน การได้รับบาดเจ็บ การผ่าตัด การรับประทานอาหารไม่เพียงพอ และมีการดูดซึมผิดปกติ,คู่มือโรค,436
โรคมะเร็งกระดูก (Osteosarcoma) มักแพร่กระจายไปยังอวัยวะใดเป็นหลัก?,ปอด,คู่มือโรค,106
อาการของโรคข้อที่พบบ่อยมีอะไรบ้าง?,อาการปวด บวม ข้อแข็ง เคลื่อนไหวลำบาก,คู่มือโรค,82
ข้ออักเสบรูมาตอยด์มีลักษณะอาการอย่างไร โดยเฉพาะในข้อต้นขาและข้ออื่นๆ?,มีอาการปวดตึงตามกล้ามเนื้อ โดยเฉพาะตอนเช้า มีข้อบวม ข้อนิ้วมือผิดรูป มีอาการชา ตาขาวอักเสบ มีน้ำในช่องเยื่อหุ้มปอด ม้ามโต เลือดจาง เกล็ดเลือนิ่งต่ำ มีอาการอ่อนเพลีย โลหิตจาง อาจมีไข้ต่ำๆ และมีอาการปวดข้อ,คู่มือโรค,109
อาการสำคัญของผู้ป่วยที่มีทางออกกระเพาะอาหารอุดกั้น คืออะไร?,อาเจียนเป็นเศษอาหารไม่มีน้ำดีปน,คู่มือโรค,279
แนวทางการดูแลและรักษาภาวะท่อปัสสาวะอักเสบควรทำอย่างไร?,แนะนำให้หลีกเลี่ยงการร่วมเพศหรือรักษาโรคติดต่อทางเพศสัมพันธ์ให้เรียบร้อย ใช้สิ่งหล่อลื่นเพื่อลดการระคายเคือง รักษาด้วยยาเช่นเดียวกับการรักษากระเพาะปัสสาวะอักเสบ,คู่มือโรค,370
โรคธาลัสซีเมียมีลักษณะและกลไกการเกิดโรคอย่างไร?,เป็นโรคโลหิตจางเรื้อรังทางพันธุกรรมที่เกิดจากความผิดปกติของยีนที่ควบคุมการสร้างสายโกลบิน ทำให้การสร้างฮีโมโกลบินผิดปกติ เกิดความไม่สมดุลของสายอัลฟาและเบตาโกลบิน ส่งผลให้เม็ดเลือดแดงทำงานผิดปกติและเนื้อเยื่อขาดออกซิเจน,คู่มือโรค,194
หลังผ่าตัด ผู้ป่วยที่มีโรคตับควรรับประทานอาหารอย่างไร?,ให้อาหารที่มีพลังงานสูง โปรตีนสูง วิตามินและเกลือแร่สูง,คู่มือโรค,311
สาเหตุหลักที่ทำให้เกิดโรคปอดอุดกั้นเรื้อรัง (COPD) คืออะไร?,การสูบบุหรี่,คู่มือโรค,207
เกณฑ์ในการวินิจฉัยโรคภาวะซีดในเด็กและวัยรุ่นตามระดับฮีโมโกลบิน (Hb) และฮีมาตอกซ์ (Hct) คืออะไร?,อายุ 3 เดือนถึง 4 ปี มีระดับ Hb < 11 กรัม/เดซิลิตร Hct < 33% ส่วนอายุ 6-14 ปี มีระดับ Hb < 12 กรัม/เดซิลิตร Hct < 36%,คู่มือโรค,187
สาเหตุหลักของโรคต้อกระจกคืออะไร?,การเปลี่ยนแปลงทางกายภาพและเคมีของเลนส์แก้วตา เช่น การขาดออกซิเจน การเพิ่มขึ้นของโซเดียมและแคลเซียม และการลดลงของโปรตีนและวิตามินซี,คู่มือโรค,227
ผู้ป่วยโรคทางเดินหายใจควรได้รับน้ำอย่างน้อยเท่าใดต่อวัน โดยเฉพาะเมื่อมีไข้สูง?,"2,000-3,000 มิลลิลิตร",คู่มือโรค,215
สำหรับผู้ป่วยที่มีสิวหัวแดงหรือตุ่มหนองรุนแรงจนผิวหน้าขรุขระ ควรใช้ยาใดร่วมกับยาปฏิชีวนะเพื่อลดไขมันในต่อมไขมันและลดการอักเสบ?,ยาที่มีฤทธิ์ช่วยให้ต่อมไขมันมีขนาดเล็กลง,คู่มือโรค,335
อาการของภาวะสับสนที่พบบ่อยคืออะไร?,ความตั้งใจจดจ่อหายไป มีความกังวล กระสับกระส่าย มีอารมณ์เปลี่ยนแปลงง่าย นอนไม่หลับ ง่วงซึม มีฝันร้าย และลืมเหตุการณ์ที่พึ่งผ่านมา,คู่มือโรค,48
อาการทางคลินิกที่พบในผู้ป่วยกล้ามเนื้อติดเชื้อโดยมีหลักฐานทางห้องปฏิบัติการสนับสนุนคืออะไร?,เลือดแดงใน 1 ชั่วโมงสูง เอนไซม์กล้ามเนื้อ เช่น CPK สูง และตรวจกล้ามเนื้อพบการอักเสบและการตายของใยกล้ามเนื้อ,คู่มือโรค,410
เมื่อผู้ป่วยมีอาการผิวหนังจากโรคเรื้อรัง ควรใช้วิธีการใดในการวินิจฉัยเพื่อหาสาเหตุของโรค?,คัดซึ้นเนื้อผิวหนังออกพิสูจน์ (Biopsy),คู่มือโรค,350
ภาวะขาดน้ำปานกลางมีอาการอย่างไร?,ผู้ป่วยจะมีอาการกระหายน้ำมาก เยื่อบุในปากแห้ง ผิวหนังแห้งแตก ความตึงตัวของผิวหนังไม่ดี ตาแห้งลึก หลอดเลือดดำที่มือแฟบเมื่อวางลงต่ำ มีไข้ต่ำๆ หัวใจเต้นเร็ว ชีพจรเร็วมากกว่า  100 ครั้ง/นาที ขณะที่ความดันเลือดลดลง หายใจ,คู่มือโรค,425
อาการของโรคโบทูลิซึมตามตำรารักษาโรคทั่วไปคืออะไร?,กลืนลำบากร่วมกับเสียงแหบ,ตำรารักษาโรคทั่วไป,36
อาการหูตึงหรือหูหนวกจากหูชั้นกลางอักเสบเฉียบพลันมีลักษณะอย่างไร?,หูตึงร่วมกับหวัด เจ็บคอ และเยื่อแก้วหูแดง,ตำรารักษาโรคทั่วไป,27
อาการเลือดออกช่องคลอดที่พบได้บ่อยในผู้ป่วยมะเร็งปากมดลูกคืออะไร?,เลือดออกในหญิงอายุมากกว่า 40 หรือหลังมีเพศสัมพันธ์,ตำรารักษาโรคทั่วไป,57
อาการชักสามารถเกิดขึ้นร่วมกับโรคใดบ้างตามตำรารักษาโรคทั่วไป?,"ภาวะครรภ์เป็นพิษ, โรคหน่วยไตอักเสบเฉียบพลัน, การบาดเจ็บที่ศีรษะ, ภาวะน้ำตาลต่ำ, โรคลมบ้าหมู, โรคเรย์ซินโดรม, ไข้รูมาติก",ตำรารักษาโรคทั่วไป,17
อาการปวดตาที่เกิดจากโรคไซนัสอักเสบมีลักษณะอย่างไร?,ปวดจมูกหรือแก้มร่วมกับน้ำมูกหรือไข้,ตำรารักษาโรคทั่วไป,22
อาการปวดท้องร่วมกับไข้ในผู้ป่วยโรคไส้ติ่งอักเสบมีลักษณะอย่างไร?,ปวดท้องน้อยขวาร่วมกับไข้,ตำรารักษาโรคทั่วไป,43
อาการใจสั่นร่วมกับหน้าบวม คอบวม และชีพจรเร็ว เกิดจากภาวะใด?,คอพอกเป็นพิษ,ตำรารักษาโรคทั่วไป,40
โรคใดที่มีอาการปัสสาวะขัดร่วมกับไข้หนาวสั่นและปวดเอว?,โรคกรวยไตอักเสบ,ตำรารักษาโรคทั่วไป,53
อาการบวมชนิดใดที่เกี่ยวข้องกับภาวะหัวใจวายตามตำรารักษาโรคทั่วไป?,มีอาการบวมร่วมกับหอบเหนื่อยและนอนราบไม่ได้,ตำรารักษาโรคทั่วไป,12
อาการของเลือดกำเดาไหลจากมะเร็งโพรงหลังจมูกตามตำรารักษาโรคทั่วไปคืออะไร?,เลือดกำเดาร่วมกับน้ำหนักลด ก้อนที่คอ หรือหูอื้อ,ตำรารักษาโรคทั่วไป,30
อาการของโรคช่องคลอดอักเสบจากเชื้อราคืออะไร?,ตกขาวนมบูดร่วมกับคันมาก,ตำรารักษาโรคทั่วไป,56
อาการเวียนศีรษะหรือบ้านหมุนที่เกิดจากโรคหลอดเลือดสมองมีลักษณะอย่างไร?,เวียนศีรษะร่วมกับขยับหัวแล้วเวียน และอ่อนเพลียหรือคลื่นไส้,ตำรารักษาโรคทั่วไป,21
อาการอาเจียนชนิดใดที่พบร่วมกับภาวะไตวายเรื้อรังตามตำรารักษาโรคทั่วไป?,อาเจียนเรื้อรังร่วมกับบวม ซีด และความดันสูง,ตำรารักษาโรคทั่วไป,41
อาการของภาวะหอบหืดตามตำรารักษาโรคทั่วไปคืออะไร?,หอบร่วมกับเสียงหวีด และประวัติภูมิแพ้,ตำรารักษาโรคทั่วไป,38
อาการของผู้ป่วยที่มีหูชั้นกลางอักเสบเฉียบพลันคืออะไร?,หูอื้อร่วมกับไข้หวัดหรือเจ็บคอ,ตำรารักษาโรคทั่วไป,25
อาการซีดหรือโลหิตจางเกิดจากโรคธาลัสซีเมียจะมีลักษณะอย่างไร?,หน้าตาแปลกและซีดเหลืองแต่เด็ก และม้ามโต,ตำรารักษาโรคทั่วไป,8
โรคใดที่มีอาการปัสสาวะขุ่นหรือแดงร่วมกับปวดสีข้าง?,นิ่วในไต,ตำรารักษาโรคทั่วไป,54
อาการปวดท้องร่วมกับน้ำหนักลด ถ่ายเลือด หรือมีก้อน คืออาการของโรคอะไร?,โรคมะเร็งต่างๆ,ตำรารักษาโรคทั่วไป,44
โรคใดที่มีไข้ร่วมกับอาการปวดท้องและหน้าแดงหรือซึม โดยมีประวัติอยู่ในแหล่งระบาด?,โรคไทฟอยด์,ตำรารักษาโรคทั่วไป,1
อาการของโรคโบทูลิซึมที่กล่าวไว้ในตำรารักษาโรคทั่วไปคืออะไร?,กลืนลำบากร่วมกับเสียงแหบ,ตำรารักษาโรคทั่วไป,35
อาการของภาวะขาดไทรอยด์ที่พบบ่อยคืออะไร?,อ้วนร่วมกับอาการขี้หนาว ผิวแห้ง ผมร่วง และหน้าบวม,ตำรารักษาโรคทั่วไป,7
อาการของบิดอะมีบาตามตำรารักษาโรคทั่วไปคืออะไร?,ถ่ายเหมือนหัวกุ้งเน่าและไม่มีไข้,ตำรารักษาโรคทั่วไป,48
อาการปวดข้อที่พบในโรคเอสแอลอี (SLE) คืออะไร?,ปวดข้อนิ้วมือ 2 ข้างร่วมกับผมร่วง,ตำรารักษาโรคทั่วไป,51
โรคใดที่มีอาการไข้สูงร่วมกับผื่นขึ้นหลังมีไข้ 4 วัน และพบจุดค็อปลิก?,โรคหัด,ตำรารักษาโรคทั่วไป,4
จากแผนภูมิที่ 9 อาการซีดร่วมกับมีไข้ โรคใดที่มีอาการไข้และปัสสาวะสีโค้ก แต่หน้าตาไม่แปลก?,โลหิตจางจากเม็ดเลือดแดงแตก,ตำรารักษาโรคทั่วไป,9
อาการของโรคซิฟิลิสตามตำรารักษาโรคทั่วไปคืออะไร?,แผลขอบแข็งและไม่เจ็บหลังเสี่ยง 10 ถึง 90 วัน,ตำรารักษาโรคทั่วไป,58
โรคใดที่มีอาการน้ำหนักลดร่วมกับมีไข้ตามที่ระบุไว้ในแผนภูมิอาการน้ำหนักลดในหน้าที่ 6 ของตำรารักษาโรคทั่วไป?,วัณโรค หรือเอดส์ หรือมะเร็ง,ตำรารักษาโรคทั่วไป,6
อาการปวดหลังที่เกิดจากนิ่วในไตมีลักษณะอย่างไร?,ปวดหลังร่วมกับปัสสาวะขุ่นแดง,ตำรารักษาโรคทั่วไป,52
อาการปวดท้องน้อยร่วมกับไข้ในผู้หญิงบ่งชี้ถึงโรคใด?,โรคปีกมดลูกอักเสบ,ตำรารักษาโรคทั่วไป,45
อาการของหูชั้นกลางอักเสบเฉียบพลันตามตำรารักษาโรคทั่วไปคืออะไร?,หูอื้อร่วมกับหวัดหรือเจ็บคอ,ตำรารักษาโรคทั่วไป,26
อาการใดที่เกิดจากการบาดเจ็บศีรษะตามที่ระบุไว้ในตำรารักษาโรคทั่วไป?,เลือดออกหูร่วมกับบาดเจ็บศีรษะ,ตำรารักษาโรคทั่วไป,28
อาการใดที่พบได้บ่อยในผู้ป่วยโรคโปลิโอตามที่ระบุไว้ในตำรารักษาโรคทั่วไป?,ขาอ่อนแรงข้างหนึ่งหลังมีไข้หวัด,ตำรารักษาโรคทั่วไป,18
อาการตาแดงจากเยื่อตาขาวอักเสบจากไวรัส มีลักษณะเฉพาะอย่างไร?,ตาแดงร่วมกับขี้ตาใส และน้ำในโพรงจมูกหรือหนังตาบวม,ตำรารักษาโรคทั่วไป,24
อาการไอของโรคหลอดลมอักเสบเรื้อรังมีลักษณะอย่างไรตามตำรารักษาโรคทั่วไป?,ไอเสมหะร่วมกับสูบบุหรี่,ตำรารักษาโรคทั่วไป,37
ภาวะใดที่มีอาการขาดประจำเดือนร่วมกับปวดศีรษะและตามัว?,เนื้องอกต่อมใต้สมอง,ตำรารักษาโรคทั่วไป,55
อาการสำคัญของโรคไซนัสอักเสบตามที่ระบุในตำรารักษาโรคทั่วไปคืออะไร?,น้ำมูกเขียวเกิน 24 ชั่วโมงร่วมกับปวดหัวคิ้วหรือใต้ตา,ตำรารักษาโรคทั่วไป,29
อาการจ้ำเขียวที่เกิดขึ้นในผู้ป่วยจากงูกัดมีลักษณะอย่างไร?,มีจ้ำเขียวโดยไม่มีจุดแดงหลังถูกงูกัด,ตำรารักษาโรคทั่วไป,10
อาการชาอาจเกิดขึ้นร่วมกับโรคใดบ้างตามตำรารักษาโรคทั่วไป?,โรคความดันโลหิตสูง เบาหวาน ปลายประสาทอักเสบ ภาวะ TIA หรือ Stroke เนื้องอกสมอง ภาวะไตวายเรื้อรัง พิษปลาปักเป้าหรือแมงดาทะเล กระดูกคอทับเส้นประสาท Carpals Tunnel Syndrome และภาวะ Hyperventilation,ตำรารักษาโรคทั่วไป,19
อาการของโรควิตกกังวลตามตำรารักษาโรคทั่วไปคืออะไร?,เจ็บแน่นอกเป็นๆ หายๆ ร่วมกับเครียด,ตำรารักษาโรคทั่วไป,39
โรคใดที่มีอาการไข้สูงตลอดเวลา เจ็บปวดเมื่อยล้า และมีผื่นขึ้นพร้อมกับพบจุดค็อปลิกในปาก?,โรคหัด,ตำรารักษาโรคทั่วไป,2
อาการของผู้ป่วยที่มีก้างติดคอตามตำรารักษาโรคทั่วไปคืออะไร?,เจ็บคอมากเวลาฝืนกลืน,ตำรารักษาโรคทั่วไป,34
อาการของโรคเบาหวานที่ปรากฏในตำรารักษาโรคทั่วไปคืออะไร?,ท้องเดินร่วมกับประวัติเบาหวาน,ตำรารักษาโรคทั่วไป,47
